Cluster,Class,Count,Percentage
411,1,38,0.20492908375128077
412,1,34,0.183357601251146
413,1,19,0.10246454187564039
414,1,17,0.091678800625573
415,0,1,0.010400416016640665
415,1,27,0.14560750687591004
416,1,20,0.10785741250067411
417,1,39,0.2103219543763145
418,0,1,0.010400416016640665
418,1,14,0.07550018875047187
419,1,37,0.19953621312624711
420,1,31,0.16717898937604486
421,0,1,0.010400416016640665
421,1,26,0.14021463625087635
422,1,69,0.3721080731273257
423,1,28,0.15100037750094375
424,0,2,0.02080083203328133
424,1,79,0.4260367793776627
425,1,11,0.05932157687537076
